measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower,display,rei_id,rei_name
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All Ages,410,Neoplasms,1,Number,2019,1572317.0338206792,1822253.4638036445,1349194.6351347459,cause,NA,NA
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All Ages,410,Neoplasms,2,Percent,2019,0.13892980173861755,0.15913730344223742,0.11814088789282859,cause,NA,NA
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All Ages,410,Neoplasms,3,Rate,2019,3943.408241896879,4570.254709081768,3383.811998261544,cause,NA,NA
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All Ages,491,Cardiovascular diseases,1,Number,2019,1646335.46866343,1894694.596176534,1425799.622198402,cause,NA,NA
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All Ages,491,Cardiovascular diseases,2,Percent,2019,0.14541145492924692,0.16451053029286267,0.12599950438212465,cause,NA,NA
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All Ages,491,Cardiovascular diseases,3,Rate,2019,4129.048223995106,4751.938779346808,3575.9391143961116,cause,NA,NA
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All Ages,508,Chronic respiratory diseases,1,Number,2019,650857.1231240967,753494.9823896546,563462.1545858051,cause,NA,NA
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All Ages,508,Chronic respiratory diseases,2,Percent,2019,0.057412874274944625,0.06228318592848918,0.052232632578649525,cause,NA,NA
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All Ages,508,Chronic respiratory diseases,3,Rate,2019,1632.3650309811335,1889.783205212155,1413.1763865658481,cause,NA,NA
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All Ages,542,Neurological disorders,1,Number,2019,651991.2042674747,1049806.3937014407,380192.0034479644,cause,NA,NA
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All Ages,542,Neurological disorders,2,Percent,2019,0.05727468677728209,0.08983329951353781,0.03488128784538231,cause,NA,NA
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All Ages,542,Neurological disorders,3,Rate,2019,1635.2093332634233,2632.939220443787,953.5305206589645,cause,NA,NA
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All Ages,344,Neglected tropical diseases and malaria,1,Number,2019,10085.861247061912,18256.941546931143,5026.569602570476,cause,NA,NA
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All Ages,344,Neglected tropical diseases and malaria,2,Percent,2019,8.884883109188254e-4,0.0015738954451061961,4.455160055356805e-4,cause,NA,NA
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All Ages,344,Neglected tropical diseases and malaria,3,Rate,2019,25.29557812628034,45.78884043064359,12.606755236301415,cause,NA,NA
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All Ages,558,Mental disorders,1,Number,2019,856180.1069852338,1113740.1303898718,643660.0999927035,cause,NA,NA
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All Ages,558,Mental disorders,2,Percent,2019,0.07521727685818572,0.0897778451681128,0.06087798131022559,cause,NA,NA
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All Ages,558,Mental disorders,3,Rate,2019,2147.3199220067645,2793.286541479792,1614.314727051974,cause,NA,NA
2,DALYs (Disability-Adjusted Life Years),527,California,3,Both,22,All Ages,653,Skin and subcutaneous diseases,1,Number,2019,273510.40662972233,383078.4670954553,188457.44026050164,cause,NA,NA
